Artist,Track,Track ID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
DSP,A Mi Varosunk Zaja,"31eSkqoOz9rNuLvDNk0ZsG
",0.375,0,0,0.25,0,0,0.375,0,0,0.25
Orlando Julius,Disco Hi,"2WNSDa9fycsYHqH9g0EKqq
",,,,,,,,,,
Snoop Dogg Kokane Tracy Nelson MrKane,Paperd Up,"2BnDm6uM8IV9osS9HwlvzJ
",,,,,,,,,,
London Elektricity,Out Of This World,"3uGNKykUb4zTbENwECRqoF
",0.026828065927380785,0.15277777777777776,0.19047619047619047,0.062182539682539686,0,0.25,0.03195955034388194,0.16428571428571428,0.13095238095238096,0.13408263652683294
Doug Hream Blunt,Gentle Persuasion,"4NkG8mhEPiyezk8AOpPRbI
",,,,,,,,,,
Ali Farka Toure,Mbaudy,"1Nbyk9PKdjQdokkwaye8gp
",,,,,,,,,,
Kalya Scintilla,Mystic Eyes Open,"2Zww77DzAbLaLlMVL3kORT
",,,,,,,,,,
Count Basie,After Supper,"4kgIDijFPvRDyl1Sa6SuOz
",,,,,,,,,,
Pedrinho,Nanda,"7Du5BtO7o6xNmQS8hQBLTY
",,,,,,,,,,
Atmos,Defending Team,"0u1OlFCLiFnMaLtQye0Y0e
",,,,,,,,,,
Stanley Clarke Q,1 2 To the Bass,"7nox2rQqxNaJpTzPNjXran
",,,,,,,,,,
London Elektricity,Out Of This World,"3uGNKykUb4zTbENwECRqoF
",0.026828065927380785,0.15277777777777776,0.19047619047619047,0.062182539682539686,0,0.25,0.03195955034388194,0.16428571428571428,0.13095238095238096,0.13408263652683294
Liquid Soul,Global Illumination,"12OLjt3CV9IuZOHaQhQBmC
",,,,,,,,,,
